,l1i_size,l2_lat,l3_size,issue_width,rob_entries,num_fu_intALU,system.cpu.cpi,Energy,workload,distance_to_origin,EDP,method
64,128kB,6,1MB,4,64,2,0.3381385549155857,0.06503711376241599,mean_workload,0.34433633047784257,0.00743619285240287,Threshold Method
100,128kB,6,4MB,4,64,2,0.02296973623003634,0.5293266487620857,mean_workload,0.5298247916737927,0.0002792773886862297,Min EDP
100,128kB,6,4MB,4,64,2,0.02296973623003634,0.5293266487620857,mean_workload,0.5298247916737927,0.0002792773886862297,Min CPI
172,32kB,12,1MB,4,64,2,0.9808220929234223,0.0006603160741481327,mean_workload,0.9808223151947554,0.0006352319725744396,Min Energy
